Hotel_Name,Hotel_Rating,City,Hotel_Price
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,delhi,7825
ट्राइडेंट होटल,4.6,delhi,12272
Nu Delhi Homestay - Deluxe Double Room,4.6,delhi,1999
The Leela Ambience Convention Hotel Delhi,4.5,delhi,9809
Hotel City Park- Hotels in Delhi,4.2,delhi,5376
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,4.6,delhi,1212
JRD Pride,4.4,delhi,4720
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,delhi,7285
IIDL Suites,4.3,delhi,5720
Park Inn by Radisson New Delhi IP Extension,4.3,delhi,6828
IIDL Suites,3.8,delhi,6163
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,8141
Sarovar Portico Naraina,3.9,delhi,4536
Hyatt Centric Janakpuri New Delhi,3.8,delhi,7484
"Taj Palace, New Delhi",4.7,delhi,15050
The Pamposh,3.7,delhi,3931
Caves by Craftels,4.7,delhi,5040
Bloomrooms @ Janpath,4.4,delhi,6451
Ramada by Wyndham New Delhi Pitampura,3.9,delhi,6305
Bloom Boutique | GK-1,4.2,delhi,4659
The Grand Parisian,4.2,delhi,4673
amigosindia,4.5,delhi,706
Holiday Inn Express New Delhi Int'l Airport T3,4.2,delhi,14081
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,10195
ibis Mumbai Vikhroli,4.5,mumbai,7392
The Lalit Mumbai,4.4,mumbai,14278
JW Marriott Mumbai Juhu,4.6,mumbai,5725
Empire Royale Hotel,4.4,mumbai,1582
"The Taj Mahal Palace, Mumbai",4.7,mumbai,33021
Grand Hyatt Mumbai Hotel & Residences,4.5,mumbai,14025
Shahana Guest House,3.1,mumbai,635
SAINA RESORT,3.6,mumbai,5082
Stay Villa Dormitory (for Male and Female),5.0,mumbai,952
Hotel Milan International,3.9,mumbai,1389
Gagal Home BKC Suite | Rooms & Caretaker,3.7,mumbai,4208
Qubestay Airport Capsule Hotel And Hostel,4.1,mumbai,1334
"Ginger Mumbai, Goregaon",4.0,mumbai,4031
The Lalit Mumbai,4.4,mumbai,11101
Royal Palms Villas with Private Pool,4.0,mumbai,20536
The Leela Mumbai - Resort Style Business Hotel,4.5,mumbai,11210
Hotel Nest N Rest - Mumbai,4.4,mumbai,1116
Novotel Mumbai Juhu Beach,4.3,mumbai,11785
Airport inn residency,3.7,mumbai,1109
Courtyard by Marriott Mumbai International Airport,4.4,mumbai,11103
JW Marriott Mumbai Sahar,4.6,mumbai,12963
The Westin Mumbai Garden City,4.5,mumbai,12963
"Holiday Inn Mumbai International Airport, an IHG Hotel",4.5,mumbai,10619
Novotel Mumbai Juhu Beach,4.3,mumbai,11800
The Park Hotel,4.4,kolkata,7295
"The Oberoi Grand, Kolkata",4.4,kolkata,4534
"The Oberoi Grand, Kolkata",4.4,kolkata,6048
The Elite Apartment Hotel,4.7,kolkata,784
Golden Parkk Hotel,4.0,kolkata,3790
Aristro Club,4.0,kolkata,1344
The Panash (Hotel and Banquets),4.4,kolkata,1565
HOTEL ORCHID INN,4.2,kolkata,1027
Bubble Beds Kolkata,4.3,kolkata,862
Hotel Platinum,3.9,kolkata,1464
Aster Guest House Kolkata,4.0,kolkata,2885
Hotel Radiant (Kolkata),4.0,kolkata,2731
Hotel Afsha,3.4,kolkata,1285
backpackers park,4.0,kolkata,1103
Hotel Mayfair tower,4.0,kolkata,1680
"The Manor House, Kolkata",4.4,kolkata,3880
Barsana Boutique Hotel,4.3,kolkata,3719
Hotel Pan Asia Continental (A Unit Of Sharda Resources Limited),4.1,kolkata,3074
Hotel Emirates,4.0,kolkata,3014
The Aster Heritage,4.7,kolkata,2778
Calcutta Bungalow| Heritage Rooms,4.9,kolkata,8604
"BhubanBari historic house airy twin room w 2 baths, kitchen, garden terrace",5.0,kolkata,2856
Hotel Pawan Putra,4.1,kolkata,2436
"FabHotel Orion Crystal - Hotel in Park Circus, Kolkata",4.1,kolkata,2652
Hyatt Place Hyderabad Banjara Hills,4.3,hyderabad,11209
Trident Hotel Hyderabad,4.5,hyderabad,10974
The Wilderness Retreat,4.0,hyderabad,4928
Hyderabad Marriott Hotel & Convention Centre,4.4,hyderabad,7112
Citadel Hotels & Conventions By Vinnca,4.4,hyderabad,3640
Hotel Rainbow Tower,4.5,hyderabad,1187
"Deccan Serai Hotel, HITEC CITY, HYDERABAD",4.2,hyderabad,3436
Taramati Baradari Resort,4.2,hyderabad,2520
The Grand Plaza Hotel,3.8,hyderabad,1240
Taj Falaknuma Palace,4.7,hyderabad,46573
"Lemon Tree Hotel, Gachibowli, Hyderabad",4.2,hyderabad,4910
Hotel Shubham Palace - Karmanghat,4.3,hyderabad,2371
RESTEL STUDIO FLATS,4.2,hyderabad,2576
Ellaa Hotel,4.8,hyderabad,4349
Zibe Hyderabad by GRT Hotels,4.5,hyderabad,4520
Ananya Eco Resorts,3.9,hyderabad,3808
Hotel Daspalla Hyderabad,4.2,hyderabad,5446
Capital O Jubilee Banjara Suites Near City Center Mall,3.2,hyderabad,1044
Luxury House in Hyderabad With Chef and Driver,5.0,hyderabad,10115
"Taj Krishna, Hyderabad",4.5,hyderabad,11800
The Wilderness Retreat,4.0,hyderabad,5668
