Hotel_Name,Hotel_Rating,City,Hotel_Price,Place_ID,Photo_Reference
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,delhi,7825,ChIJ3RlMdckBDTkR0pjpqymKelw,AdDdOWpdGIWmtkmcEMR8b7jXaKWSGP8VQuEbPN1QSEbJgf2l-UAqv1yL737pkcHGTGBINUXb7wNh5_gW3IJdSFy36hPHSQBUieuhJ1hz4MkDrNzm2KEgUKtSi_ZFEmjM6xc7umWFnG4Sbdegz-OGd2sIdLcQpwYHEP8mWVAhR8_QopmwzklG
ट्राइडेंट होटल,4.6,delhi,12272,ChIJj2S21B0ZDTkRRyJ8WllyPMA,AdDdOWprM-Tl32I2ABYCyoNRR66wIOR3uZCmaA92YyOlRSqkhY6gDeHyddjVajWz0PG3vBGiIYHZ1xYFIMDoBSVuNEuR1X5Yc1QfErZJXPVFAOU_jIABqVKfYGiECbTX8fl5q_4MPfnHjwd7QaQ3u1PJlX_28MKRarME4qsnjs6LGoPSjAmO
Nu Delhi Homestay - Deluxe Double Room,4.6,delhi,1999,ChIJBeUtHnTiDDkR4Ubj5utSO8c,AdDdOWqiOZjImwYK6k5FN7iMDq8T3ldpqA9K6rXliKnDOJPhLNcB2mymczdQeI6p2G3nKNpYQ1Zwtc_x6yUIm68wM_vOgWwRUdQ7an1gbaRdQg5k_tqodG0FtsxMbQZj1tL0hXafF-R0-WH9ldr2ERQgmFW8Lw7BAksu-PKf5KdYnfXFIfTb
The Leela Ambience Convention Hotel Delhi,4.5,delhi,9809,ChIJq7-D7G77DDkR93Czw_SxpJ4,AdDdOWogyaVQbp-0pnjn4ZcWWru-_w00WbUMxlXjnDGNa-7tMKVJVbeaBUVt94j5HNAd08nCVbA1sXhjqwjDrCPILMrWgrUpYdvvY-Q4j_SMEUEreZcvKOTSwlGVWs5zpjLPbfg-voXOZOqZ9TNZcG3en9vW1KgDuvsGmW9qVk3IiiiaGN2i
Hotel City Park- Hotels in Delhi,4.2,delhi,5376,ChIJVVVVJdQDDTkRyYcuYnqjUqc,AdDdOWpQwpErtOBemOTkIYUNUi9Opc1kw0Yg3qv11RvkUm85tkUekZ6uutruDo0IdppnwDCR3FrIhVlJSQ6oL7uzAAzjwZtftRsH5BHh0CYc3pWbUkFibZhshC_nuvN2gudMNKTGn-Mbg37uAyji4hCCioAOyoIwxZCrgu1I-zJ49_12M2bX
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,4.6,delhi,1212,ChIJzyidtTEdDTkR32S2ajuXbOs,AdDdOWrYzBgDG9iuQL_2kBoEjJFbsZmRkUyVcQSBtCoimJPUnsLTy_GD0zerM76PwhbF7wYjY63zwaaYI2d4COLWQzTLGtTQWY_NgWEgOXK82eyHTGeZJYAZiUyN4LmFNz2FsvybnL7kaaOYA7-5OjZ9WPsUO4Hk-WE4npY90lIgKPWzJG6t
JRD Pride,4.4,delhi,4720,ChIJAd8A0orjDDkRjr_v7ohML7k,AdDdOWqAtcfY7MzFbnoCsKXS8bf9nTGENEpg8Qt7TRK72gPWA21LODA8UhYP9jFhtwP3fgE73RV2TtPkmlwLTSMBG2L0xWupzpoMhOWE9EaGMCX9jFJ-zvw4e_Cpo6zt58TS9E-HkhsQXaGOjgD81Rt3NlURyi7j7e-2BLi6kMA4EZQTl-Pf
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,delhi,7285,ChIJFzlAtHoEDTkRWL-rjvV_XKE,AdDdOWpXVOvufsuG_AVCgkoGOfStLvpMxtva-f5_xH3m8-PZgQibeoK6lttZU3FUicVVXHgg-LeQ8VV0zSgU4n0xR6hmgNU_Bc0E451ngTJJ_36YwtTpjrgdUpF7y4j0fla96ca2x0-Ob2L71JN-QSg-Jd70iYHqLwT-JqKeL3MCuYOsdgHV
IIDL Suites,4.3,delhi,5720,ChIJYWObOR_lDDkRC3aMeHig0Mw,AdDdOWoDnZ1xwvY--yqtPrDhFXAUUKpfImJ6a2qnPJJgfyTHFlGDfnBZ0YBodf1jdKMM9d1axwLdo1duKnNZzUb169dwFcG3xsP_jjTYpiGvg6Hz_RH_VyViBZHOIHIpyIz9Mv5Nagz3iLi4am08zEapeh8SNIP8TNGF8kevO90SRcvLt1Eh
Park Inn by Radisson New Delhi IP Extension,4.3,delhi,6828,ChIJSYldhsvkDDkRzAmX8vxgfs0,AdDdOWoKl3xybITAld1w4fqXJkB--OFB8ng47_1PTykl6pKrvogOJol_DiT1BCEpqyFGvCqyc63LCFSOwDB2kdAJAr2GVGA3UaXoyIJjPpfNzSrxu6tcxR6x4VKdauSWzEobyqYkh3u92c5xIFSp1bsaBs7bydibOvzTa0LCchY6yLqBtYVA
