Name,Location,Locality,City,Rating,Cost,Place_ID,Photo_Reference
Local,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2000,ChIJL8u_hDb9DDkRI1vFuCQrbIs,AdDdOWpN1-XWwq8OPGR1pV3cgSsf6EpE4xHtGHdgNvJjU0GOUd6Ef5vChPrmBmawLEU-tmPq79KKikOh6cSV-geGX2Qs41PqiWkv1d42jLmCd447xMd6FBMAIdhAdOcZaGZt1CN3UJ8Qx9K7OUlIj7_OXiToVTwvRJJ6gP6y918AWfx4cmOw
The G.T. ROAD,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,1500,ChIJ6QJTLjf9DDkROZVJmD_ulGc,AdDdOWpvSEt01msMSQ5OXEhcW8wLSkvWr4U2bRXHy9j5-sUnrkWrm4k99q_X2butoJXGJPnptDbeFj9A7sovz8XvGCdGlmBKNo08pvpIn6_XqsaJRfPQIHvQEciYGzN6hLFG46xha70y_jzuJ7vLJ2arm-A_nehTl17prlsWavlZttyUMNP6
Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2000,ChIJ52Rpnjb9DDkRoefV8uKYSDA,AdDdOWrHOB722oqG5hxHBquCOabv3T1WRPxEnXirSLcsbdpbrXX-Ta60WRVMU4X_niM0y0evJtrSj97UMszT2ZG0GCQaYJQWbQxYQRbif9379ZYQ5GNZ8FAcK8pYDxvStfqrgB4y4uumg1MS99-HwjddRKV9RKtDEbtKMdYzc-zfGaW8s5pb
The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,1800,ChIJR7ouiDb9DDkRoG-ENHESjto,AdDdOWquM3P0fC-0sn0_uRADkiAMc2fMJfIlmfuJ3gmfGxEVK8F7G9fVLHx3_Q_5ajKoWsN1fKShP28636s0dIGjhRi3Jaxhzh8MlAo68m0NdTqyoSoRfc3uWJgAMF6qqa2PKSq6ktWSs4XzrdkfFIr91jbGvuxwrj7bS_10lBhya-kduX4t
Chili's American Grill and Bar,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.4,2000,ChIJyzQUHgQbDTkRGGfb0vxDQTA,AdDdOWrV9PA_bCbtSiE-LY1y7S3qxm9fjZLXY7WhW7sCH4EBss96pZLt6a-P-QEVeBiFgpblt6Z98iSIBCasDREboqGQDU3YLNleIrdOYSaFAA23ckoFd072KEFplMzu_-kX6RkHLwmKIfaPQTlUSBhf_-DVZrZLJEwrR7db3oVKS_h11L8b
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.9,2000,ChIJB0d0Yzb9DDkRZlFjlp7t-P8,AdDdOWrVxOmrUn0lxld_BKowqrxEkYqarmI6Dj49sxGlmnEC1q91T7TFICR5wAQFMerBCn-WTaqx1zAGG52R6g0W_k4lTekFU_mVMiVMvXJe8CeVe7qdMJ-z1tqO5mErfj1iWwg090V2upTCyZDpDh0FyJUcYMcx4yz8jHHvx0nW1mKytMVM
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.0,1800,ChIJYehaLjf9DDkR4jj6xDzDwNo,AdDdOWrzrOnxvud4JWcEp3BwN_A22gIhkcic6DHWc_7qXHeX2Nhis_0nZr4LjHww2BMpRP66XoxcuaJYQeZch8n9cD9dWxxAkOJMvmY84QA65If-5dKtJ9HqawddDasR9AuwKXWdo8iOAoTkqEGaBoA22WJiTSqnSMKFpVYPlq2dvcANRpT4
QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,2100,ChIJV7ZZJxH9DDkR4ThNy_PPlY4,AdDdOWrSQYZ4JZTTbq-ryuissRMdyfgNBlZe0D_Frhiiiao6JwpHnPJx0HjGg6aqtEuKTYKb46psmJWY3xojrpBTsCXi0PgpjiSkDHXnmDNxeAu-A2xOgi4V_e_9iAVd-NlBQqRG_yMLHixb3EqyALpivgrsZYHqzfBPyddROt0obcZSTeCQ
My Bar Square,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.9,1500,ChIJUeNzGjf9DDkRhmYHRS-vR-I,AdDdOWov1PuIhZZGyHYF709ro2wLj0L9JO6IT1786JVkX48Ccmxb5_p8SwmWSqfjJ8IiWtrkgjzWBqQQCR9mYLM2Lu-B-G0_xhdyaxSM0778X-42HfI2ruPvKOOPZdLorD-gJzsp1CDMmQcVb7N6dDoTQtfW653kXQ9D_020q653Qr2bQNtZ
Ghoomar Traditional Thali Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,1000,ChIJRYszW7j9DDkRSxpjsuR9REs,AdDdOWp7xY1U27qt5rC6Oayfc_NiPKqPH-PK0GC_Z6Nrd_81DJeDyHC099kMQhDomtJGYICwrqtbN524kGHAvE_q9ZTA5P33j9y2L-XOSE6whGDLuqItKEDgN5HrOrXmaXovzSYSDjtNhN5Dm7yF_b7NeCp9KU_egwbWTfTdDqm5c0Gg1oQ
