Name,Location,Locality,City,Rating,Cost
Local,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2000
The G.T. ROAD,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,1500
Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2000
The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,1800
Chili's American Grill and Bar,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.4,2000
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.9,2000
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.0,1800
QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,2100
My Bar Square,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.9,1500
Ghoomar Traditional Thali Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,1000
Station Bar,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2000
Warehouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2500
Padmanabham,"Janpath, Central Delhi", Central Delhi,Delhi,4.2,700
Unplugged Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2000
38 Barracks,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,1700
Ministry Of Beer,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.0,2100
Sandoz,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,1500
Farzi Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2000
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2200
Lord of the Drinks,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2000
Lazeez Affaire,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2600
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2000
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2000
Route 04,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2000
Kwality Restaurant,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,4.5,2000
Castle Barbeque,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.5,2000
Teddy Boy,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2000
Tamra,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,4.4,4000
Cafe Delhi Heights,"Janpath, Central Delhi", Central Delhi,Delhi,4.4,2000
The Imperial Spice,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.4,2800
Informal By Imperfecto,"Janpath, Central Delhi", Central Delhi,Delhi,4.1,2400
Boa Village,"The Exchange Store Building,Civil Lines, North Delhi", North Delhi,Delhi,4.4,2000
Cafe MRP,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,1400
Caffe Tonino,"PVR Plaza,Connaught Place, Central Delhi", Central Delhi,Delhi,4.5,2000
Desi Vibes,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2200
Cafe High5,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.9,1800
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2000
TEO - Lounge & Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,3.9,1200
Connaught Clubhouse,"Janpath, Central Delhi", Central Delhi,Delhi,4.2,2500
Cafe Hawkers,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,1200
Dhaba Estd 1986 Delhi,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,1200
My Bar Headquarters,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,1500
Zaffran,"Hotel Palace Heights,Connaught Place, Central Delhi", Central Delhi,Delhi,4.5,1000
Oh My God,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2200
Daryaganj,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2000
Berco's,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,1500
Barbeque Nation,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.4,1700
Bagundi,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,1000
Biryani By Kilo,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,800
Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.8,1800
Naivedyam,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.8,500
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,4.0,1200
Punjab Grill,"Janpath, Central Delhi", Central Delhi,Delhi,4.1,2200
The Immigrant Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.0,2100
Pind Balluchi,"Janpath, Central Delhi", Central Delhi,Delhi,4.0,1800
Bo-Tai Switch,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,4.1,1200
Taste of China,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2000
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2000
Taco Bell,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.0,500
The Host,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2500
THE ART HOUSE Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.9,2500
DR Zombie,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,1800
Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.4,2200
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.8,1800
Ranisa,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.4,800
The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,2800
World Of My Bar,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2200
Biryani Blues,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,1200
Chaayos,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,500
The Great Kabab Factory,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,4.2,3000
Khandani Rajdhani,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,4.0,1000
Chaayos,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,500
Mughal-E-Hazam,"Connaught Place, Central Delhi", Central Delhi,Delhi,5.0,1200
Creme Borne,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.8,500
