City,Name,Type,Google review rating,Place_ID,Photo_Reference
Delhi,India Gate,War Memorial,4.6,ChIJC03rqdriDDkRXT6SJRGXFwc,AdDdOWqygDUJ_tLLUZyPl7RDHZ38YhDa_gFeS9OPoslt1GZqV_xzTwy3El3sOH3T6NjJ6NLIlnEN4NEx6roLtjRADsSmKrEPhBol1sXbfFfaQ_TuaBkAYZikf3o96WdTAvXA2tqogfy-ZTVIVcR3TQ5kQtkg4O1hPVhxqKM0x2pmW2uD_1kc
Delhi,Humayun's Tomb,Tomb,4.5,ChIJpwtG6BzjDDkRDajfOy268bk,AdDdOWqcC69Sdc_abbLQObBShbr3Ik4MguSC_llgNS35yuLhVfXcQ9EA8KJws6JHp3x5BxWc2g1hyCi7k98T7R49LprvysEp_VtFzSlxwD18YrWvw6uImqIV4PgyHX1i7GwdNmU5C-tQ_p7VQov3NjCFr_JrEVeCh_NNnyIZl-PrQLAz1SWD
Delhi,Akshardham Temple,Temple,4.6,ChIJ-7F1mVvjDDkRKrLzXiafoGk,AdDdOWrUA2fPCDRkCgZfnyu0FtAg1Zez4jR8cJGUct7eDEIg3BFlgpB6s4kz4j6HzKJ0MrW8fkDwPNxPIfMI_0Ew7kDGHKUNbnFmP7oVwCZgcNqccOsoUd50r6w1Zj3wRUHy0JzakXSoCIqyjXO5OSAZ9vso8yPawIH7S2Rbw_s_pjuaoXPk
Delhi,Waste to Wonder Park,Theme Park,4.1,ChIJYRJgUoPjDDkRNAyCbaQzWBM,AdDdOWqbh_5v5k9ZCBPFEr876TJ0baGY6LiPeHKMr1fbR3EjekcYTls1u5itIt5kYyOr9wtNAtj1BNdVIFEnxYPQ3m-XuOdJJzEQ-El3PLccmuck_HrhNCovvc1YhFNNTrB7UysvjMIasBJ-3jKmWKmKx1DQ2B1VFet2KYdjaXgvMbCh1rY
Delhi,Jantar Mantar,Observatory,4.2,ChIJm8RPaUr9DDkRDBt4YsluSqI,AdDdOWo91z9skp1Mso6ISgsCPf5Kw10MpYSDbYc1Ah5oKzOY-UNSWFEIB4ojIU2fIHr9fTYGAqu3op71zbSgiIWkXfave4zS9tGNfv8IoEAVTjP8IfWAt2bc6QH1hl3TTipCS9ogaE1gL5fJWXL8oMZbhFal_htB0plstjVC9rL2JAJ8X6F0
Delhi,Chandni Chowk,Market,4.2,ChIJWcXciBr9DDkRUb4dCDykTwI,AdDdOWpD1j9BZZbn2akSsiEYWVquHuzUXvo0kt3uqAD57dBWmVbb7cE7oP-nHJLTEr1f2QdMzhmLL1UUHOIbs43Di5c1KJtZ5dyQp_av7IZpwXNcsKNOHPj8bGkhs06TMPAXC0ziDB6XdxA7yF-FMNHiDtm7CxcMcX6q0iqFzfKTOCQ9SL-y
Delhi,Lotus Temple,Temple,4.5,ChIJ0YwCbsHjDDkResZe6B7rO2U,AdDdOWqzHQI25jD76evSOpXKVegYGDD_2cXk2emyd9qRcCciSCo50x_HLPANoQXoU1q730Y8XErmzSPeQyqbcQIynWzTcMUhfH2OhPy2G2RZI7a3A134UpQf7Fr3KCYlhVO696GY8HnydlEYQEm_3WMA4PXje4zvzeeNx18itNVMjPZ697Ti
Delhi,Red Fort,Fort,4.5,ChIJ74XAbuL8DDkR-wJQ-vQyHkQ,AdDdOWqS37kZmPFBkDz4n0gZn5U5cz4okr5DfJ7B8PgmT94jv7-GAwQ9D_uXXLVuYyWU8nu7SY682zqY-fgYHV1fLiVKNY5srz2xUn775Z9FH9zSpp1_iex4QHYnl4R1Aht4xEI7cSPKg_iLNRR-V8dKqLdErT9HICeoHjg3E485xdFoD58n
Delhi,Agrasen ki Baoli,Stepwell,4.2,ChIJ2WjYEzP9DDkRG_AKY2WphJA,AdDdOWrPmbBmT2tlDwrGDL31WE0e8VJqqY1qrncvjidnq4CYHoSQcYk3IM0eVwgS1uBYE-sT2PzIzM_amD_keiAfy0Cq_a-hoLuPDycTjS_uHoiGZxsYiwCyl7ab6yjBAnF4v_6NxU21z2VGEGQaGXim9w1E9wnunIS-vfwvVfnHdl7HLSLt
Delhi,Sunder Nursery,Park,4.6,ChIJ1dKqABzjDDkRguxsdYzFDlw,AdDdOWrtfO_uYlKbbHp4ac_khuME6AhseVN87nzluNzCe-WSnrOzLJoyW6Og2NGWaD6xaVgAxHBHJZBh8gR_EYAbUNz03l1Fr_bcPgigoJsFOL7euWgofkmWhhhTWXXPkuQAbwUPyoCXznwRjnwtYyHvLFe0t_9HjJ5CmDTMhoERndt-i5n5
Delhi,Garden of Five Senses,Park,4.1,ChIJFZkh6uPhDDkRHCcxh5hX_BQ,AdDdOWoNRM3eWP1NWW60AXOQ3u6mBMugrW8i5XLNY8TUUmeMikmAzDNwnlaHjOqHOALAFC_EMhywKg0z7eomXvMVuMOfrQ5mKXelS3PbokzcpvW0wLJjGOAe592-ARd00ZtE-FNI_GImMNFsWy0SUXmCOwxDk19UU_NbU5OX7xUX-SxWb85B
Delhi,Lodhi Garden,Park,4.5,ChIJNS7J7OziDDkR6ksNHEt2wIY,AdDdOWp_MpaICXBjTF06iU7z7wbE3noqI8GcsvW8x-5YS5b4rFQC_CsTP_Z97aBj9jUY5GwViF7fV8dXNgq4MUtD50mBGwN6dN8yHTMLwAzR7i_fW_c74jdWLML24XQwi5P126B1Z09VfdvVLQkfpK7Gw_J65mbXzxNbNSi6HMp2AqoP1cII
Delhi,National Gallery of Modern Art,Museum,4.5,ChIJ_____9rR5zsRp-h-K4oIkFM,AdDdOWqbEB06IWSN7AQUgIPjSamuMFOBM2HpilHbvDxWWJmF5608_VuQE_4M5n06r2kzY106UVYfWtw4ffJU7o7L6w-Rl1GG7mt_JjYhYyngI-svfxSDnv6zg2wyjXKMK7REu8DKgP6Fc1FZ74soLinx3Bn-nvcQzPJ9zo4PoB7hSUXHOW5B
Delhi,National Zoological Park ,Zoo,4.1,ChIJudsnoBjjDDkRSARYWWscKvE,AdDdOWqcKKxiNDiU-EqDWxBxBdBahD8ORbxvsZMcJ0Rjp1imXXP98aup6S6AxKzC5y7C8bMGql_O_ZpkYNcFBzxqnlXt_2MAgPb6XOeaCCg7JAOlYHosGEoILNTOOw8RzIfqFj-6ObZovOT7xoYgj368dnp85Gmfz8IqE59cgiNLqFA8e05u
